id	name
1201642309	"Playdead's INSIDE"
1445379072	"GRIS"
656951157	"Playdead's LIMBO"
948857526	"Transistor"
1491530147	"Slay the Spire"
640364616	"Terraria"
1406710800	"Stardew Valley"
1311353234	"Bridge Constructor Portal"
1012298403	"Don't Starve: Pocket Edition"
1148321705	"Bully: Anniversary Edition"
1061802598	"GTA: Liberty City Stories"
344186162	"GTA: Chinatown Wars"
479662730	"Grand Theft Auto III"
578448682	"Grand Theft Auto: Vice City"
763692274	"Grand Theft Auto: San Andreas"
982175678	"This War of Mine"
1250484428	"The Talos Principle"
1511788295	"Crying Suns"
1199831446	"Darkest Dungeon:Tablet Edition"
1085123968	"Crypt of the NecroDancer"
911006986	"Banner Saga"
1287138671	"Thumper: Pocket Edition"
1466096721	"Neverwinter Nights"
1106831630	"ROME: Total War"
1439187947	"Rebel Inc."
525818839	"Plague Inc."
1147297267	"Don't Starve: Shipwrecked"
596677177	"Worms3"
1438091392	"Human: Fall Flat"
1293250289	"Life is Strange: Before Storm"
1180101534	"Life Is Strange"
479431697	"CHRONO TRIGGER (Upgrade Ver.)"
1389752090	"Dead Cells"
611436052	"Star Wars™: KOTOR"
1288508230	"XCOM 2 Collection"
1264531625	"Tropico"
1464645812	"Company of Heroes"
1269648762	"Old School RuneScape"
479516143	"Minecraft"
868692227	"Goat Simulator"
1107741196	"Banner Saga 2"
1467063160	"Bastion"
833951143	"FTL: Faster Than Light"
814977594	"Surgeon Simulator"
515114051	"Baldur's Gate"
633625517	"Baldur's Gate II: EE"
1298734617	"Siege of Dragonspear"
909472985	"Icewind Dale"
1138916291	"Planescape: Torment"
881270303	"XCOM®: Enemy Within"
512142109	"Max Payne Mobile"
469343097	"MEGA MAN X"
407949800	"Secret of Mana"
727420266	"LEGO® Star Wars™: TCS"
1235863443	"Sid Meier's Civilization® VI"
480375355	"The Bard's Tale"
1162580001	"Game Dev Tycoon"
1113736426	"RollerCoaster Tycoon® Classic"
1280480538	"ARK: Survival Evolved"
1029588869	"Brothers: A Tale of Two Sons"
1489491274	"Iris and the Giant"
1525624394	"Forager"
1319618742	"Getting Over It"
1445593893	"Journey"
1453875289	"Hyper Light Drifter"
749488884	"Element - RTS"
424591347	"FINAL FANTASY III (3D REMAKE)"
575119311	"FINAL FANTASY IV (3D REMAKE)"
683029090	"FF IV: THE AFTER YEARS"
1021566244	"FINAL FANTASY VII"
1478870957	"FINALFANTASY CRYSTALCHRONICLES"
446760220	"FINAL FANTASY TACTICS :WotL"
500098096	"FINAL FANTASY TACTICS"
1357536697	"THE LAST REMNANT Remastered"
544695089	"TheWorldEndswithYou: SoloRemix"
545042359	"TheWorldEndswithYouSoloRemixHD"
837860959	"Mini Metro"
1526466468	"Dungeon of the Endless: Apogee"
1435456830	"Castlevania: SotN"
1453901000	"Mini Motorways"
1492041278	"FINAL FANTASY"
1492041252	"FINAL FANTASY II"
1492041436	"FINAL FANTASY III"
1492041417	"FINAL FANTASY IV"
1326740784	"FINAL FANTASY VIII Remastered"
430823968	"FINAL FANTASY III for iPad(3D)"
1458655678	"Divinity - Original Sin 2"
963230767	"Star Wars™: KOTOR II"
1455088996	"Battle Chasers: Nightwar"
1179421849	"GRID™ Autosport"
1523633394	"SpongeBob SquarePants: BfBB"
1442583232	"Star Traders: Frontiers"
1332022656	"RuneScape"
1480617557	"Legends of Runeterra"
1508051949	"What Remains of Edith Finch"
1292099839	"Donut County"
1297430468	"Florence"
1279174518	"Flower"
1490196582	"The Unfinished Swan"
1440072561	"If Found..."
1441675155	"The Pathless"
1441675161	"Sayonara Wild Hearts"
1230231705	"The Witness"
1476531719	"Dear Esther"
1517281887	"Baba Is You"
1374372468	"Teslagrad"
946477821	"Evoland"
1291427111	"Evoland 2"
1243555377	"White Night"
1479933497	"Disgaea 1 Complete"
1264707038	"Halcyon 6: Starbase Commander"
1517566159	"Tales of the Neon Sea"
1455087110	"Moonlighter"
1533979882	"Northgard"
1147331964	"Invisible, Inc."
1090133581	"Oddworld: New 'n' Tasty"
1001248922	"Oddworld: Munch's Oddysee"
923555295	"Oddworld: Stranger's Wrath"
1474849377	"Beyond a Steel Sky"
336347946	"DOOM"
1470090748	"DOOM II"
1209489068	"FEZ Pocket Edition"
1367121168	"Bad North: Jotunn Edition"
1093396572	"SteamWorld Heist"
1453189467	"Rogue Legacy"
1439886655	"Cultist Simulator"
1133500069	"Sunless Sea"
1564265387	"The Witcher Tales"
1108475553	"Jade Empire™: Special Edition"
911201894	"DRAGON QUEST"
911205290	"DRAGON QUEST II"
911208088	"DRAGON QUEST III"
